genre,game
action,Dota 2
action,Counter-Strike: Global Offensive
action,PLAYERUNKNOWN'S BATTLEGROUNDS
action,Counter-Strike
action,Path of Exile
action,Paladins
action,Warframe
action,Unturned
action,Grand Theft Auto V
action,Half-Life
action,Half-Life 2
action,Team Fortress 2
action,Borderlands 2
action,Left 4 Dead 2
action,Counter-Strike: Source
action,Rocket League
action,PlanetSide 2
action,Grim Dawn
action,Terraria
action,SMITE
action,War Thunder
action,Guacamelee! Super Turbo Championship Edition
action,PAYDAY 2
action,Z1 Battle Royale
action,Counter-Strike: Condition Zero
action,Warface
action,Brawlhalla
action,Half-Life Deathmatch: Source
action,Heroes & Generals
action,Trove
action,Tom Clancy's Rainbow Six Siege
action,Robocraft
action,Street Warriors Online
action,Half-Life 2: Lost Coast
action,BioShock
action,Grand Theft Auto IV
action,Left 4 Dead
action,MONSTER HUNTER: WORLD
action,Half-Life 2: Episode One
action,Call of Duty: Modern Warfare 2
action,Tomb Raider
action,Saints Row: The Third
action,Destiny 2
action,The Forest
action,Warhammer: Vermintide 2
action,HITMAN 2
action,Borderlands Game of the Year
action,World of Warships
action,Day of Defeat: Source
action,Chivalry: Medieval Warfare
action,Day of Defeat
action,Evolve Stage 2
action,Black Desert Online
action,Loadout
action,Killing Floor
action,Dead by Daylight
action,Half-Life: Blue Shift
action,ARK: Survival Evolved
action,Rust
action,Dirty Bomb
action,World of Tanks Blitz
action,theHunter Classic
action,Half-Life 2: Deathmatch
action,Ricochet
action,Black Squad
action,APB Reloaded
action,Creativerse
action,Deathmatch Classic
action,Freestyle 2: Street Basketball
action,Half-Life: Opposing Force
action,Life is Strange - Episode 1
action,Tom Clancy’s The Division
action,Counter-Strike Nexon: Studio
action,Infestation: The New Z
action,Ring of Elysium
action,Team Fortress Classic
action,Castle Crashers
action,ARK: Survival Of The Fittest
action,No More Room in Hell
action,Portal 2
action,BioShock Infinite
action,Grand Theft Auto: Vice City
action,Grand Theft Auto: San Andreas
action,Grand Theft Auto III
action,Company of Heroes - Legacy Edition
action,Batman: Arkham Asylum Game of the Year Edition
action,Batman: Arkham City - Game of the Year Edition
action,Dishonored
action,DARK SOULS III
action,Devil May Cry 5
action,BioShock 2
action,EVE Online
action,Torchlight II
action,Far Cry 3
action,Hollow Knight
action,Dying Light
action,Battlefield: Bad Company 2
action,Psychonauts
action,Total War: WARHAMMER II
action,Tribes: Ascend
action,Dead Space
action,The Witcher: Enhanced Edition Director's Cut
action,Rise of the Tomb Raider
action,Saints Row IV
action,Bastion
action,Hotline Miami
action,Total War: THREE KINGDOMS
action,DOOM
action,Battlerite
action,Amnesia: The Dark Descent
action,DARK SOULS: Prepare To Die Edition
action,BattleBlock Theater
action,Enter the Gungeon
action,Trine 2: Complete Story
action,Just Cause 2
action,SpeedRunners
action,The Binding of Isaac
action,Alan Wake
action,Darksiders
action,Broforce
action,Call of Duty: World at War
action,Monaco: What's Yours Is Mine
action,Orcs Must Die! 2
action,Realm of the Mad God
action,MORDHAU
action,Dungeon Defenders
action,Mirror's Edge
action,Call of Duty: Black Ops
action,Starbound
action,STAR WARS Jedi Knight - Jedi Academy
action,Outlast
action,Brutal Legend
action,DARK SOULS II: Scholar of the First Sin
action,Jotun: Valhalla Edition
action,Hitman: Absolution
action,"Star Wars: Battlefront 2 (Classic, 2005)"
action,Mount & Blade: Warband
action,Awesomenauts - the 2D moba
action,TERA
action,Mafia II
action,Alien Swarm
action,Sanctum 2
action,PAYDAY The Heist
action,Gigantic
action,Red Orchestra 2: Heroes of Stalingrad with Rising Storm
action,FOR HONOR
action,Metro: Last Light Redux
action,Spec Ops: The Line
action,Star Conflict
action,Killing Floor 2
action,Borderlands: The Pre-Sequel
action,Blacklight: Retribution
action,Call of Duty: Black Ops II
action,Stories: The Path of Destinies
action,Just Cause 3
action,Batman: Arkham Origins
action,"Warhammer 40,000: Space Marine"
action,Arma 3
action,Magicka
action,Insurgency
action,Shadow Warrior
action,Arma 2: Operation Arrowhead
action,Mad Max
action,Serious Sam 3: BFE
action,Block N Load
action,DC Universe Online
action,Saints Row 2
action,Homefront
action,The Bureau: XCOM Declassified
action,Spiral Knights
action,Guns of Icarus Online
action,Defiance
action,POSTAL 2
action,ORION: Prelude
action,Codename CURE
action,Crysis 2 - Maximum Edition
action,Cry of Fear
action,DayZ
action,Survarium
action,WARMODE
action,Sven Co-op
action,Cuisine Royale
action,AirMech Strike
action,Half-Life: Source
action,Romero's Aftermath
action,Stick Fight: The Game
action,Iron Snout
action,S.K.I.L.L. - Special Force 2 (Shooter)
action,Line of Sight
action,Space Engineers
action,Fistful of Frags
action,The Expendabros
action,Argo
action,Toribash
action,Grand Theft Auto: Episodes from Liberty City
action,ArcheBlade
action,Last Man Standing
action,SCP: Secret Laboratory
action,Minion Masters
action,Realm Royale
action,Dungeon Defenders II
action,Double Action: Boogaloo
action,Gear Up
action,Red Crucible: Firestorm
action,7 Days to Die
action,Risk of Rain 2
action,GunZ 2: The Second Duel
action,Batman: Arkham Knight
action,Titan Quest Anniversary Edition
action,Gotham City Impostors Free to Play
action,Just Survive
action,Metro 2033 Redux
action,America's Army: Proving Grounds
action,Middle-earth: Shadow of War
action,Crossout
action,Alien Swarm: Reactive Drop
action,The Binding of Isaac: Rebirth
action,South Park: The Stick of Truth
action,Deceit
action,BLOCKADE 3D
action,KurtzPel
action,Quake Live
action,Knight Online
action,Company of Heroes
action,Call of Duty 4: Modern Warfare
action,Deus Ex: Human Revolution - Director's Cut
action,DARK SOULS II
action,STAR WARS Jedi Knight: Dark Forces II
action,METAL GEAR SOLID V: THE PHANTOM PAIN
action,Crysis
action,Mark of the Ninja
action,Deus Ex: Game of the Year Edition
action,Brothers - A Tale of Two Sons
action,Dead Cells
action,Mass Effect
action,Street Fighter V
action,RESIDENT EVIL 2 / BIOHAZARD RE:2
action,STAR WARS Jedi Knight II - Jedi Outcast
action,Assassin’s Creed Brotherhood
