game,release_date,price,metascore,owners,avg_playtime,median_playtime,developers,publishers,trending
Konung 2,2004-11-30,2.99,35,"20,000 .. 50,000",0,0,1C Entertainment,1C Entertainment,NA
planetarian ~the reverie of a little planet~,2004-11-29,9.99,NA,"50,000 .. 100,000",0,0,VisualArts/Key,Sekai Project,NA
Half-Life 2,2004-11-16,9.99,96,"10,000,000 .. 20,000,000",112,143,Valve,Valve,NA
Kult: Heretic Kingdoms,2004-11-11,4.99,NA,"20,000 .. 50,000",0,0,Games Farm,Games Farm,NA
Nexus - The Jupiter Incident,2004-11-05,9.99,77,"50,000 .. 100,000",0,0,"Mithis Games, THQ Nordic",HandyGames,NA
Counter-Strike: Source,2004-11-01,9.99,88,"10,000,000 .. 20,000,000",150,211,Valve,Valve,Yes
Half-Life 2: Deathmatch,2004-11-01,4.99,NA,"5,000,000 .. 10,000,000",14,4,Valve,Valve,NA
Nancy Drew: Curse of Blackmoor Manor,2004-10-25,6.99,81,"20,000 .. 50,000",0,0,HeR Interactive,HeR Interactive,NA
I Misteri di Maggia,2004-09-27,0,NA,"0 .. 20,000",0,0,Stelex Software,Stelex Software,NA
Rome: Total War - Collection,2004-09-22,4.41,92,"1,000,000 .. 2,000,000",0,0,CREATIVE ASSEMBLY,SEGA,NA
Full Spectrum Warrior,2004-09-21,9.99,80,"100,000 .. 200,000",0,0,Pandemic Studios,THQ Nordic,NA
Shadow Ops: Red Mercury,2004-09-17,6.99,61,"50,000 .. 100,000",0,0,Zombie Studios,Retroism,NA
Chris Sawyer's Locomotion,2004-09-10,5.99,NA,"20,000 .. 50,000",0,0,Chris Sawyer,Atari,NA
Dark Fall 2: Lights Out,2004-08-24,4.99,66,"20,000 .. 50,000",0,0,Darkling Room,THQ Nordic,NA
Zoo Empire,2004-08-01,6.99,59,"0 .. 20,000",0,0,Enlight Software Limited,"Retroism, Enlight Software Limited",NA
Marine Park Empire,2004-08-01,6.99,58,"0 .. 20,000",0,0,Enlight Software Limited,"Retroism, Enlight Software Limited",NA
Mashed,2004-06-25,4.99,NA,"50,000 .. 100,000",0,0,Supersonic Software,Strategy First,NA
Marine Sharpshooter II: Jungle Warfare,2004-06-22,2.99,52,"100,000 .. 200,000",0,0,Jarhead Games,Funbox Media Ltd,NA
Thief: Deadly Shadows,2004-06-11,0.98,85,"500,000 .. 1,000,000",0,0,Ion Storm,Square Enix,NA
Platypus,2004-06-02,6.99,NA,"100,000 .. 200,000",0,0,Idigicon,KISS ltd,NA
Half-Life: Source,2004-06-01,9.99,NA,"2,000,000 .. 5,000,000",16,5,Valve,Valve,NA
Perimeter,2004-05-21,3.99,77,"20,000 .. 50,000",0,0,K-D Lab,1C Entertainment,NA
Port Royale 2,2004-04-30,4.99,75,"50,000 .. 100,000",0,0,Ascaron Entertainment ltd.,Strategy First,NA
Beyond Divinity,2004-04-27,5.99,73,"500,000 .. 1,000,000",0,0,Larian Studios,Larian Studios,NA
Unreal Tournament 2004: Editor's Choice Edition,2004-03-17,14.99,93,"500,000 .. 1,000,000",0,0,"Epic Games, Inc.","Epic Games, Inc.",NA
The I of the Dragon,2004-03-10,6.99,NA,"500,000 .. 1,000,000",121,40,Primal,TopWare Interactive,NA
Deus Ex: Invisible War,2004-03-05,6.99,80,"1,000,000 .. 2,000,000",0,0,Ion Storm,Square Enix,NA
Counter-Strike: Condition Zero,2004-03-01,9.99,65,"10,000,000 .. 20,000,000",2796,2796,Valve,Valve,NA
Wars and Warriors: Joan of Arc,2004-02-07,6.99,60,"0 .. 20,000",0,0,Enlight Software Limited,"Retroism, Enlight Software Limited",NA
Hard Truck Apocalypse / Ex Machina,2005-12-08,7.99,NA,"50,000 .. 100,000",0,0,Targem Games,Buka Entertainment,NA
Operation: Matriarchy,2005-11-20,5.99,NA,"0 .. 20,000",0,0,Madia Entertainment,Buka Entertainment,NA
"Star Wars: Battlefront 2 (Classic, 2005)",2005-11-01,9.99,78,"2,000,000 .. 5,000,000",108,36,Pandemic Studios,"Lucasfilm, LucasArts, Disney",NA
Half-Life 2: Lost Coast,2005-10-27,0,NA,"10,000,000 .. 20,000,000",9,6,Valve,Valve,NA
Sid Meier's Civilization IV,2005-10-25,19.99,94,"1,000,000 .. 2,000,000",0,0,Firaxis Games,2K,NA
UFO: Aftershock,2005-10-21,3.99,NA,"100,000 .. 200,000",0,0,ALTAR Interactive,1C Entertainment,NA
Disney's Chicken Little,2005-10-20,9.99,NA,"20,000 .. 50,000",0,0,Avalanche Software,Disney,NA
Nancy Drew: Last Train to Blue Moon Canyon,2005-10-18,6.99,77,"20,000 .. 50,000",0,0,HeR Interactive,HeR Interactive,NA
