#,Game,Release date,Price,Score rank(Userscore / Metascore),Owners,Playtime (Median),Developer(s),Publisher(s)
20,Konung 2,"Nov 30, 2004",$2.99,N/A (N/A/35%),"20,000 .. 50,000",00:00 (00:00),1C Entertainment,1C Entertainment
29,planetarian ~the reverie of a little planet~,"Nov 29, 2004",$9.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),VisualArts/Key,Sekai Project
1,Half-Life 2,"Nov 16, 2004",$9.99,N/A (N/A/96%),"10,000,000 .. 20,000,000",01:52 (02:23),Valve,Valve
27,Kult: Heretic Kingdoms,"Nov 11, 2004",$4.99,N/A (N/A),"20,000 .. 50,000",00:00 (00:00),Games Farm,Games Farm
10,Nexus - The Jupiter Incident,"Nov 5, 2004",$9.99,N/A (N/A/77%),"50,000 .. 100,000",00:00 (00:00),"Mithis Games, THQ Nordic",HandyGames
4,Counter-Strike: Source,"Nov 1, 2004",$9.99,N/A (N/A/88%),"10,000,000 .. 20,000,000",02:30 (03:31),Valve,Valve
21,Half-Life 2: Deathmatch,"Nov 1, 2004",$4.99,N/A (N/A),"5,000,000 .. 10,000,000",00:14 (00:04),Valve,Valve
6,Nancy Drew: Curse of Blackmoor Manor,"Oct 25, 2004",$6.99,N/A (N/A/81%),"20,000 .. 50,000",00:00 (00:00),HeR Interactive,HeR Interactive
23,I Misteri di Maggia,"Sep 27, 2004",Free,N/A (N/A),"0 .. 20,000",00:00 (00:00),Stelex Software,Stelex Software
3,Rome: Total War - Collection,"Sep 22, 2004",$4.41,N/A (N/A/92%),"1,000,000 .. 2,000,000",00:00 (00:00),CREATIVE ASSEMBLY,SEGA
7,Full Spectrum Warrior,"Sep 21, 2004",$9.99,N/A (N/A/80%),"100,000 .. 200,000",00:00 (00:00),Pandemic Studios,THQ Nordic
15,Shadow Ops: Red Mercury,"Sep 17, 2004",$6.99,N/A (N/A/61%),"50,000 .. 100,000",00:00 (00:00),Zombie Studios,Retroism
28,Chris Sawyer's Locomotion,"Sep 10, 2004",$5.99,N/A (N/A),"20,000 .. 50,000",00:00 (00:00),Chris Sawyer,Atari
13,Dark Fall 2: Lights Out,"Aug 24, 2004",$4.99,N/A (N/A/66%),"20,000 .. 50,000",00:00 (00:00),Darkling Room,THQ Nordic
17,Zoo Empire,"Aug 1, 2004",$6.99,N/A (N/A/59%),"0 .. 20,000",00:00 (00:00),Enlight Software Limited,"Retroism, Enlight Software Limited"
18,Marine Park Empire,"Aug 1, 2004",$6.99,N/A (N/A/58%),"0 .. 20,000",00:00 (00:00),Enlight Software Limited,"Retroism, Enlight Software Limited"
25,Mashed,"Jun 25, 2004",$4.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),Supersonic Software,Strategy First
19,Marine Sharpshooter II: Jungle Warfare,"Jun 22, 2004",$2.99,N/A (N/A/52%),"100,000 .. 200,000",00:00 (00:00),Jarhead Games,Funbox Media Ltd
5,Thief: Deadly Shadows,"Jun 11, 2004",$0.98,N/A (N/A/85%),"500,000 .. 1,000,000",00:00 (00:00),Ion Storm,Square Enix
22,Platypus,"Jun 2, 2004",$6.99,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),Idigicon,KISS ltd
24,Half-Life: Source,"Jun 1, 2004",$9.99,N/A (N/A),"2,000,000 .. 5,000,000",00:16 (00:05),Valve,Valve
9,Perimeter,"May 21, 2004",$3.99,N/A (N/A/77%),"20,000 .. 50,000",00:00 (00:00),K-D Lab,1C Entertainment
11,Port Royale 2,"Apr 30, 2004",$4.99,N/A (N/A/75%),"50,000 .. 100,000",00:00 (00:00),Ascaron Entertainment ltd.,Strategy First
12,Beyond Divinity,"Apr 27, 2004",$5.99,N/A (N/A/73%),"500,000 .. 1,000,000",00:00 (00:00),Larian Studios,Larian Studios
2,Unreal Tournament 2004: Editor's Choice Edition,"Mar 17, 2004",$14.99,N/A (N/A/93%),"500,000 .. 1,000,000",00:00 (00:00),"Epic Games, Inc.","Epic Games, Inc."
26,The I of the Dragon,"Mar 10, 2004",$6.99,N/A (N/A),"500,000 .. 1,000,000",02:01 (00:40),Primal,TopWare Interactive
8,Deus Ex: Invisible War,"Mar 5, 2004",$6.99,N/A (N/A/80%),"1,000,000 .. 2,000,000",00:00 (00:00),Ion Storm,Square Enix
14,Counter-Strike: Condition Zero,"Mar 1, 2004",$9.99,N/A (N/A/65%),"10,000,000 .. 20,000,000",46:36 (46:36),Valve,Valve
16,Wars and Warriors: Joan of Arc,"Feb 7, 2004",$6.99,N/A (N/A/60%),"0 .. 20,000",00:00 (00:00),Enlight Software Limited,"Retroism, Enlight Software Limited"
30,Hard Truck Apocalypse / Ex Machina,"Dec 8, 2005",$7.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),Targem Games,Buka Entertainment
22,Operation: Matriarchy,"Nov 20, 2005",$5.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),Madia Entertainment,Buka Entertainment
9,"Star Wars: Battlefront 2 (Classic, 2005)","Nov 1, 2005",$9.99,N/A (N/A/78%),"2,000,000 .. 5,000,000",01:48 (00:36),Pandemic Studios,"Lucasfilm, LucasArts, Disney"
33,Half-Life 2: Lost Coast,"Oct 27, 2005",Free,N/A (N/A),"10,000,000 .. 20,000,000",00:09 (00:06),Valve,Valve
1,Sid Meier's Civilization IV,"Oct 25, 2005",$19.99,N/A (N/A/94%),"1,000,000 .. 2,000,000",00:00 (00:00),Firaxis Games,2K
31,UFO: Aftershock,"Oct 21, 2005",$3.99,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),ALTAR Interactive,1C Entertainment
24,Disney's Chicken Little,"Oct 20, 2005",$9.99,N/A (N/A),"20,000 .. 50,000",00:00 (00:00),Avalanche Software,Disney
12,Nancy Drew: Last Train to Blue Moon Canyon,"Oct 18, 2005",$6.99,N/A (N/A/77%),"20,000 .. 50,000",00:00 (00:00),HeR Interactive,HeR Interactive
20,Shattered Union,"Oct 17, 2005",$4.99,N/A (N/A/67%),"20,000 .. 50,000",00:00 (00:00),PopTop,2K
17,Rag Doll Kung Fu,"Oct 12, 2005",$9.99,N/A (N/A/69%),"20,000 .. 50,000",00:00 (00:00),Mark Healey,Mark Healey
8,Crazy Machines,"Oct 1, 2005",$9.99,N/A (N/A/78%),"50,000 .. 100,000",00:00 (00:00),Fakt Software,Viva Media
11,Crazy Machines 1.5,"Oct 1, 2005",$9.99,N/A (N/A/78%),"0 .. 20,000",00:00 (00:00),Fakt Software,Viva Media
21,Cold War,"Sep 27, 2005",$4.99,N/A (N/A/64%),"20,000 .. 50,000",00:00 (00:00),Mindware Studios,THQ Nordic
18,Bone: Out From Boneville,"Sep 15, 2005",N/A,N/A (N/A/68%),"50,000 .. 100,000",00:00 (00:00),Telltale Games,Telltale Games
27,rFactor,"Aug 31, 2005",$24.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),Image Space Incorporated,Image Space Incorporated
7,Dungeon Siege II,"Aug 16, 2005",$6.99,N/A (N/A/80%),"500,000 .. 1,000,000",00:00 (00:00),Gas Powered Games,Square Enix
15,Advent Rising,"Aug 9, 2005",$9.99,N/A (N/A/70%),"50,000 .. 100,000",00:00 (00:00),GlyphX Games,Majesco Entertainment
19,BloodRayne 2,"Aug 2, 2005",$9.99,N/A (N/A/67%),"50,000 .. 100,000",00:00 (00:00),Terminal Reality,Majesco Entertainment
6,Nancy Drew: Secret of the Old Clock,"Jul 26, 2005",$6.99,N/A (N/A/80%),"20,000 .. 50,000",00:00 (00:00),HeR Interactive,HeR Interactive
5,Myst V: End of Ages,"Jul 19, 2005",$9.99,N/A (N/A/80%),"50,000 .. 100,000",00:00 (00:00),Cyan Worlds,Cyan Worlds
4,Darwinia,"Jul 14, 2005",$9.99,N/A (N/A/84%),"500,000 .. 1,000,000",00:00 (00:00),Introversion Software,Introversion Software
14,FlatOut,"Jul 12, 2005",$7.49,N/A (N/A/72%),"200,000 .. 500,000",00:00 (00:00),Bugbear Entertainment,Strategy First
2,Sid Meier's Pirates!,"Jul 11, 2005",$9.99,N/A (N/A/88%),"500,000 .. 1,000,000",00:40 (00:13),Firaxis Games,2K
32,Midnight Outlaw: 6 Hours to SunUp,"Jul 2, 2005",$9.99,N/A (N/A),"20,000 .. 50,000",00:00 (00:00),"Merscom, Babylon","ValuSoft, Retroism"
23,World War I,"Jun 17, 2005",$4.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),Dark Fox,1C Entertainment
25,Rising Kingdoms,"May 27, 2005",$2.49,N/A (N/A),"0 .. 20,000",00:00 (00:00),Haemimont Games,Haemimont Games
16,Imperial Glory,"May 15, 2005",$4.99,N/A (N/A/69%),"200,000 .. 500,000",00:00 (00:00),Pyro Studios,Kalypso Media Digital
3,Psychonauts,"Apr 19, 2005",$9.99,N/A (N/A/87%),"2,000,000 .. 5,000,000",00:00 (00:00),Double Fine Productions,Double Fine Productions
26,Geneforge 3,"Apr 1, 2005",$19.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),Spiderweb Software,Spiderweb Software
28,CT Special Forces: Fire for Effect,"Mar 24, 2005",$2.99,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),"Asobo Studio, Hip Games",Funbox Media Ltd
29,Massive Assault: Phantom Renaissance,"Mar 3, 2005",$9.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),Wargaming.net,Wargaming.net
10,STAR WARS Republic Commando,"Mar 1, 2005",$9.99,N/A (N/A/78%),"1,000,000 .. 2,000,000",00:01 (00:00),LucasArts,"LucasArts, Lucasfilm, Disney"
13,Project: Snowblind,"Feb 22, 2005",$0.89,N/A (N/A/76%),"100,000 .. 200,000",00:00 (00:00),Crystal Dynamics,Square Enix
65,Desert Gunner,"Dec 31, 2006",$2.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),Digital Fusion,Digital Fusion Inc.
92,Nux,"Dec 26, 2006",$6.99,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),Idigicon,KISS ltd
69,Vegas: Make It Big,"Dec 21, 2006",$4.99,N/A (N/A),"20,000 .. 50,000",00:00 (00:00),Deepred,Strategy First
102,Sam & Max 102: Situation: Comedy,"Dec 20, 2006",$19.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),Telltale Games,Telltale Games
115,3D Ultra Minigolf Adventures,"Dec 20, 2006",$9.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),Wanako Games,Activision
42,Gumboy - Crazy Adventures,"Dec 19, 2006",$4.99,N/A (N/A/69%),"50,000 .. 100,000",00:00 (00:00),"CINEMAX, s.r.o.","CINEMAX, s.r.o."
91,Hard Truck Apocalypse: Rise Of Clans / Ex Machina: Meridian 113,"Dec 18, 2006",$5.99,N/A (N/A),"20,000 .. 50,000",00:00 (00:00),Targem Games,Buka Entertainment
6,IL-2 Sturmovik: 1946,"Dec 15, 2006",$9.99,N/A (N/A/86%),"200,000 .. 500,000",01:24 (00:28),1C: Maddox Games,1C Entertainment
63,Paws and Claws: Pet School,"Dec 15, 2006",$6.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),dtp – young entertainment Gmbh & Co. KG,"ValuSoft, Retroism"
88,Mystery Case Files: Ravenhearst,"Dec 15, 2006",$9.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),Big Fish Games,Big Fish Games
72,Zen of Sudoku,"Dec 14, 2006",Free,N/A (N/A),"0 .. 20,000",00:00 (00:00),Unknown Worlds Entertainment,Unknown Worlds Entertainment
70,Disney's Chicken Little: Ace in Action,"Dec 7, 2006",$19.99,N/A (N/A),"0 .. 20,000",00:00 (00:00),Avalanche Software,Disney
80,Xpand Rally Xtreme,"Dec 1, 2006",$4.99,N/A (N/A),"20,000 .. 50,000",00:00 (00:00),Techland,Techland
82,Garry's Mod,"Nov 29, 2006",$9.99,N/A (N/A),"10,000,000 .. 20,000,000",08:43 (02:11),Facepunch Studios,Valve
98,RACE - The WTCC Game,"Nov 24, 2006",$39.99,N/A (N/A),"200,000 .. 500,000",00:00 (00:00),SimBin,SimBin
57,Heroes of Annihilated Empires,"Nov 22, 2006",$14.99,N/A (N/A/65%),"50,000 .. 100,000",00:00 (00:00),GSC Game World,GSC Game World
114,The Ship: Single Player,"Nov 20, 2006",$9.99,N/A (N/A),"100,000 .. 200,000",00:00 (00:00),Outerlight Ltd.,Blazing Griffin Ltd.
96,Total War: MEDIEVAL II – Definitive Edition,"Nov 15, 2006",$6.24,N/A (N/A),"2,000,000 .. 5,000,000",03:19 (01:06),"CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)"
56,Heroes of Might & Magic V: Hammers of Fate,"Nov 14, 2006",$9.99,N/A (N/A/66%),"50,000 .. 100,000",00:00 (00:00),Nival,Ubisoft
17,RoboBlitz,"Nov 7, 2006",$9.99,N/A (N/A/80%),"20,000 .. 50,000",00:00 (00:00),Naked Sky Entertainment,Naked Sky Entertainment
99,Geneforge 4: Rebellion,"Nov 1, 2006",$19.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),Spiderweb Software,Spiderweb Software
76,3D ParticleGen Visual FX,"Oct 27, 2006",$9.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),Reality Pump,TopWare Interactive
15,RollerCoaster Tycoon 3: Platinum,"Oct 26, 2006",N/A,N/A (N/A/81%),"1,000,000 .. 2,000,000",00:00 (00:00),"Frontier, Aspyr (Mac)","Atari, Aspyr (Mac)"
37,Dark Messiah of Might & Magic,"Oct 25, 2006",$9.99,N/A (N/A/72%),"1,000,000 .. 2,000,000",00:00 (00:00),Arkane Studios,Ubisoft
111,Sam & Max 101: Culture Shock,"Oct 17, 2006",$19.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),Telltale Games,Telltale Games
23,Sid Meier's Railroads!,"Oct 16, 2006",$9.99,N/A (N/A/77%),"500,000 .. 1,000,000",00:00 (00:00),"Firaxis Games, Feral Interactive (Mac)","2K, Feral Interactive (Mac)"
48,Space Empires V,"Oct 16, 2006",$14.99,N/A (N/A/68%),"50,000 .. 100,000",00:00 (00:00),Malfador Machinations,Strategy First
58,Gothic 3,"Oct 13, 2006",$9.99,N/A (N/A/63%),"500,000 .. 1,000,000",00:00 (00:00),Piranha Bytes,THQ Nordic
60,The Guild II,"Oct 12, 2006",$9.99,N/A (N/A/61%),"500,000 .. 1,000,000",00:00 (00:00),4HEAD Studios,THQ Nordic
3,"Warhammer 40,000: Dawn of War - Dark Crusade","Oct 9, 2006",$12.99,N/A (N/A/87%),"1,000,000 .. 2,000,000",00:44 (00:14),Relic Entertainment,SEGA
49,Nancy Drew: The Creature of Kapu Cave,"Oct 1, 2006",$6.99,N/A (N/A/68%),"0 .. 20,000",00:00 (00:00),HeR Interactive,HeR Interactive
9,DEFCON,"Sep 29, 2006",$9.99,N/A (N/A/84%),"500,000 .. 1,000,000",00:00 (00:00),Introversion Software,Introversion Software
53,Pacific Storm,"Sep 29, 2006",$7.99,N/A (N/A/67%),"50,000 .. 100,000",00:00 (00:00),"Buka Entertainment, Lesta Studio",Buka Entertainment
84,War on Folvos,"Sep 25, 2006",$3.99,N/A (N/A),"50,000 .. 100,000",00:00 (00:00),Lonely Troops,Lonely Troops
62,El Matador,"Sep 25, 2006",$3.99,N/A (N/A/54%),"20,000 .. 50,000",00:00 (00:00),Plastic Reality Technologies,1C Entertainment
29,Just Cause,"Sep 22, 2006",$0.97,N/A (N/A/75%),"1,000,000 .. 2,000,000",00:00 (00:00),Avalanche Studios,Square Enix
46,Joint Task Force,"Sep 12, 2006",$7.99,N/A (N/A/68%),"50,000 .. 100,000",00:00 (00:00),Most Wanted Entertainment,HD Publishing
