"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"65","Desert Gunner","Dec 31, 2006","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Digital Fusion","Digital Fusion Inc."
"92","Nux","Dec 26, 2006","$6.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Idigicon","KISS ltd"
"69","Vegas: Make It Big","Dec 21, 2006","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Deepred","Strategy First"
"102","Sam & Max 102: Situation: Comedy","Dec 20, 2006","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Telltale Games","Telltale Games"
"115","3D Ultra Minigolf Adventures","Dec 20, 2006","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Wanako Games","Activision"
"42","Gumboy - Crazy Adventures","Dec 19, 2006","$4.99","N/A (N/A/69%)","50,000 .. 100,000","00:00 (00:00)","CINEMAX, s.r.o.","CINEMAX, s.r.o."
"91","Hard Truck Apocalypse: Rise Of Clans / Ex Machina: Meridian 113","Dec 18, 2006","$5.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Targem Games","Buka Entertainment"
"6","IL-2 Sturmovik: 1946","Dec 15, 2006","$9.99","N/A (N/A/86%)","200,000 .. 500,000","01:24 (00:28)","1C: Maddox Games","1C Entertainment"
"63","Paws and Claws: Pet School","Dec 15, 2006","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","dtp – young entertainment Gmbh & Co. KG","ValuSoft, Retroism"
"88","Mystery Case Files: Ravenhearst","Dec 15, 2006","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Big Fish Games","Big Fish Games"
"72","Zen of Sudoku","Dec 14, 2006","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Unknown Worlds Entertainment","Unknown Worlds Entertainment"
"70","Disney's Chicken Little: Ace in Action","Dec 7, 2006","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Avalanche Software","Disney"
"80","Xpand Rally Xtreme","Dec 1, 2006","$4.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Techland","Techland"
"82","Garry's Mod","Nov 29, 2006","$9.99","N/A (N/A)","10,000,000 .. 20,000,000","08:43 (02:11)","Facepunch Studios","Valve"
"98","RACE - The WTCC Game","Nov 24, 2006","$39.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","SimBin","SimBin"
"57","Heroes of Annihilated Empires","Nov 22, 2006","$14.99","N/A (N/A/65%)","50,000 .. 100,000","00:00 (00:00)","GSC Game World","GSC Game World"
