"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"64","PLAYERUNKNOWN'S BATTLEGROUNDS","Dec 21, 2017","$29.99","N/A (N/A/86%)","50,000,000 .. 100,000,000","15:55 (05:02)","PUBG Corporation","PUBG Corporation"
"55","Path of Exile","Oct 23, 2013","Free","N/A (N/A/86%)","20,000,000 .. 50,000,000","04:59 (07:45)","Grinding Gear Games","Grinding Gear Games"
"3812","Unturned","Jul 7, 2017","Free","N/A (N/A)","20,000,000 .. 50,000,000","19:23 (02:46)","Smartly Dressed Games","Smartly Dressed Games"
"1","Grand Theft Auto V","Apr 14, 2015","$29.99","N/A (N/A/96%)","10,000,000 .. 20,000,000","13:14 (03:36)","Rockstar North","Rockstar Games"
"117","Terraria","May 16, 2011","$9.99","N/A (N/A/83%)","10,000,000 .. 20,000,000","05:24 (01:22)","Re-Logic","Re-Logic"
"129","Grim Dawn","Feb 25, 2016","$24.99","N/A (N/A/83%)","10,000,000 .. 20,000,000","08:33 (08:32)","Crate Entertainment","Crate Entertainment"
"282","Guacamelee! Super Turbo Championship Edition","Aug 21, 2014","$14.99","N/A (N/A/80%)","10,000,000 .. 20,000,000","00:00 (00:00)","DrinkBox Studios","DrinkBox Studios"
"776","Z1 Battle Royale","Feb 28, 2018","Free","N/A (N/A/70%)","10,000,000 .. 20,000,000","74:50 (74:35)","Daybreak Game Company","Daybreak Game Company"
"1015","The Tiny Bang Story","Apr 22, 2011","$4.99","N/A (N/A/63%)","10,000,000 .. 20,000,000","00:00 (00:00)","Colibri Games","Colibri Games"
"1328","Serena","Jan 30, 2014","Free","N/A (N/A)","10,000,000 .. 20,000,000","00:00 (00:00)","Senscape","Senscape"
"4584","Trove","Jul 9, 2015","Free","N/A (N/A)","10,000,000 .. 20,000,000","03:44 (02:45)","Trion Worlds","Trion Worlds"
"12","Grand Theft Auto IV","Dec 2, 2008","$19.99","N/A (N/A/90%)","5,000,000 .. 10,000,000","02:43 (01:05)","Rockstar North, Rockstar Toronto","Rockstar Games"
"69","Tomb Raider","Mar 4, 2013","$2.99","N/A (N/A/86%)","5,000,000 .. 10,000,000","01:18 (01:45)","Crystal Dynamics, Eidos-Montréal, Feral Interactive (Mac), Feral Interactive (Linux)","Square Enix, Feral Interactive (Mac), Feral Interactive (Linux)"
"121","The Forest","Apr 30, 2018","$19.99","N/A (N/A/83%)","5,000,000 .. 10,000,000","04:17 (06:22)","Endnight Games Ltd","Endnight Games Ltd"
"124","Divide By Sheep","Jul 2, 2015","$4.99","N/A (N/A/83%)","5,000,000 .. 10,000,000","00:00 (00:00)","Victor Solodilov, Denis Novikov","tinyBuild"
"131","Destiny 2","Oct 1, 2019","Free","N/A (N/A/83%)","5,000,000 .. 10,000,000","18:06 (04:49)","Bungie","Bungie"
"151","Don't Starve Together","Apr 21, 2016","$14.99","N/A (N/A/83%)","5,000,000 .. 10,000,000","04:29 (01:59)","Klei Entertainment","Klei Entertainment"
"292","Don't Starve","","$9.99","N/A (N/A/79%)","5,000,000 .. 10,000,000","10:16 (13:40)","Klei Entertainment","Klei Entertainment"
"413","Kathy Rain","May 5, 2016","$14.99","N/A (N/A/77%)","5,000,000 .. 10,000,000","00:00 (00:00)","Clifftop Games","Raw Fury"
"583","Neverwinter","Dec 5, 2013","Free","N/A (N/A/74%)","5,000,000 .. 10,000,000","02:19 (01:32)","Cryptic Studios","Perfect World Entertainment"
"617","Black Desert Online","May 24, 2017","$9.99","N/A (N/A/73%)","5,000,000 .. 10,000,000","18:04 (18:03)","Pearl Abyss","Kakao Games Europe B.V."
"643","A Story About My Uncle","May 28, 2014","$14.99","N/A (N/A/73%)","5,000,000 .. 10,000,000","00:11 (00:03)","Gone North Games","Coffee Stain Publishing"
