"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"61","Path of Exile","Oct 23, 2013","Free","N/A (N/A/86%)","20,000,000 .. 50,000,000","04:59 (07:45)","Grinding Gear Games","Grinding Gear Games"
"3038","Unturned","Jul 7, 2017","Free","N/A (N/A)","20,000,000 .. 50,000,000","19:23 (02:46)","Smartly Dressed Games","Smartly Dressed Games"
"60","Rocket League","Jul 7, 2015","$19.99","N/A (N/A/86%)","10,000,000 .. 20,000,000","07:03 (03:55)","Psyonix LLC","Psyonix LLC"
"143","Grim Dawn","Feb 25, 2016","$24.99","N/A (N/A/83%)","10,000,000 .. 20,000,000","08:33 (08:32)","Crate Entertainment","Crate Entertainment"
"178","Terraria","May 16, 2011","$9.99","N/A (N/A/83%)","10,000,000 .. 20,000,000","05:24 (01:22)","Re-Logic","Re-Logic"
"348","Guacamelee! Super Turbo Championship Edition","Aug 21, 2014","$14.99","N/A (N/A/80%)","10,000,000 .. 20,000,000","00:00 (00:00)","DrinkBox Studios","DrinkBox Studios"
"1337","The Tiny Bang Story","Apr 22, 2011","$4.99","N/A (N/A/63%)","10,000,000 .. 20,000,000","00:00 (00:00)","Colibri Games","Colibri Games"
"3042","Heroes & Generals","Oct 18, 2016","Free","N/A (N/A)","10,000,000 .. 20,000,000","10:52 (07:32)","RETO MOTO","RETO MOTO"
"5381","Serena","Jan 30, 2014","Free","N/A (N/A)","10,000,000 .. 20,000,000","00:00 (00:00)","Senscape","Senscape"
"13753","Brawlhalla","Oct 17, 2017","Free","N/A (N/A)","10,000,000 .. 20,000,000","01:39 (00:54)","Blue Mammoth Games","Ubisoft"
"17536","Garry's Mod","Nov 29, 2006","$9.99","N/A (N/A)","10,000,000 .. 20,000,000","09:03 (01:56)","Facepunch Studios","Valve"
"17541","Robocraft","Aug 24, 2017","Free","N/A (N/A)","10,000,000 .. 20,000,000","02:05 (01:43)","Freejam","Freejam"
"141","Don't Starve Together","Apr 21, 2016","$14.99","N/A (N/A/83%)","5,000,000 .. 10,000,000","04:29 (01:59)","Klei Entertainment","Klei Entertainment"
"146","Divide By Sheep","Jul 2, 2015","$4.99","N/A (N/A/83%)","5,000,000 .. 10,000,000","00:00 (00:00)","Victor Solodilov, Denis Novikov","tinyBuild"
"147","The Forest","Apr 30, 2018","$19.99","N/A (N/A/83%)","5,000,000 .. 10,000,000","04:17 (06:22)","Endnight Games Ltd","Endnight Games Ltd"
"224","Warhammer: Vermintide 2","Mar 8, 2018","$7.49","N/A (N/A/82%)","5,000,000 .. 10,000,000","02:02 (02:09)","Fatshark","Fatshark"
"397","Don't Starve","","$9.99","N/A (N/A/79%)","5,000,000 .. 10,000,000","10:16 (13:40)","Klei Entertainment","Klei Entertainment"
"407","Chivalry: Medieval Warfare","Oct 16, 2012","$24.99","N/A (N/A/79%)","5,000,000 .. 10,000,000","13:54 (04:38)","Torn Banner Studios","Torn Banner Studios"
"413","Euro Truck Simulator 2","Oct 12, 2012","$19.99","N/A (N/A/79%)","5,000,000 .. 10,000,000","07:45 (03:30)","SCS Software","SCS Software"
"504","Kathy Rain","May 5, 2016","$14.99","N/A (N/A/77%)","5,000,000 .. 10,000,000","00:00 (00:00)","Clifftop Games","Raw Fury"
"808","A Story About My Uncle","May 28, 2014","$14.99","N/A (N/A/73%)","5,000,000 .. 10,000,000","00:11 (00:03)","Gone North Games","Coffee Stain Publishing"
"893","Loadout","Jan 31, 2014","N/A","N/A (N/A/72%)","5,000,000 .. 10,000,000","00:00 (00:00)","Edge of Reality","Edge of Reality"
"1011","ARK: Survival Evolved","Aug 27, 2017","$49.99","N/A (N/A/70%)","5,000,000 .. 10,000,000","07:43 (07:09)","Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC","Studio Wildcard"
"1055","Rust","Feb 8, 2018","$34.99","N/A (N/A/69%)","5,000,000 .. 10,000,000","24:17 (23:14)","Facepunch Studios","Facepunch Studios"
"6911","ARK: Survival Of The Fittest","Aug 29, 2017","N/A","N/A (N/A)","5,000,000 .. 10,000,000","00:00 (00:00)","Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC","Studio Wildcard"
"9501","AdVenture Capitalist","Mar 30, 2015","Free","N/A (N/A)","5,000,000 .. 10,000,000","01:18 (01:17)","Hyper Hippo Games","Hyper Hippo Games"
"9853","Braveland","Mar 17, 2014","$4.99","N/A (N/A)","5,000,000 .. 10,000,000","00:00 (00:00)","Tortuga Team","Tortuga Team"
"10385","Castle Crashers","Sep 26, 2012","$14.99","N/A (N/A)","5,000,000 .. 10,000,000","00:51 (01:05)","The Behemoth","The Behemoth"
"12574","Clicker Heroes","May 13, 2015","Free","N/A (N/A)","5,000,000 .. 10,000,000","60:08 (20:02)","Playsaurus","Playsaurus"
"13530","No More Room in Hell","Oct 31, 2013","Free","N/A (N/A)","5,000,000 .. 10,000,000","00:22 (00:14)","No More Room in Hell Team","Lever Games"
"13785","Creativerse","May 8, 2017","Free","N/A (N/A)","5,000,000 .. 10,000,000","00:11 (00:03)","Playful Corp.","Playful Corp."
"16704","Infestation: The New Z","Nov 22, 2016","Free","N/A (N/A)","5,000,000 .. 10,000,000","00:35 (00:48)","Fredaikis AB","Fredaikis AB"
"5","Undertale","Sep 15, 2015","$9.99","N/A (N/A/92%)","2,000,000 .. 5,000,000","01:30 (00:59)","tobyfox","tobyfox"
"18","Stardew Valley","Feb 26, 2016","$14.99","N/A (N/A/89%)","2,000,000 .. 5,000,000","07:15 (10:02)","ConcernedApe","ConcernedApe"
"26","Kerbal Space Program","Apr 27, 2015","$39.99","N/A (N/A/88%)","2,000,000 .. 5,000,000","02:29 (01:47)","Squad","Private Division"
"27","The Stanley Parable","Oct 17, 2013","$14.99","N/A (N/A/88%)","2,000,000 .. 5,000,000","02:36 (00:52)","Galactic Cafe","Galactic Cafe"
"28","Torchlight II","Sep 20, 2012","$19.99","N/A (N/A/88%)","2,000,000 .. 5,000,000","01:34 (00:31)","Runic Games","Runic Games"
"32","LIMBO","Aug 2, 2011","$9.99","N/A (N/A/88%)","2,000,000 .. 5,000,000","00:00 (00:00)","Playdead","Playdead"
