"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"47","Path of Exile","Oct 23, 2013","Free","N/A (N/A/86%)","20,000,000 .. 50,000,000","04:59 (07:45)","Grinding Gear Games","Grinding Gear Games"
"2","The Elder Scrolls V: Skyrim","Nov 10, 2011","$19.99","N/A (N/A/94%)","10,000,000 .. 20,000,000","02:21 (03:03)","Bethesda Game Studios","Bethesda Softworks"
"22","Borderlands 2","Sep 17, 2012","$19.99","N/A (N/A/89%)","10,000,000 .. 20,000,000","05:02 (03:38)","Gearbox Software, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)"
"87","Grim Dawn","Feb 25, 2016","$24.99","N/A (N/A/83%)","10,000,000 .. 20,000,000","08:33 (08:32)","Crate Entertainment","Crate Entertainment"
"91","Terraria","May 16, 2011","$9.99","N/A (N/A/83%)","10,000,000 .. 20,000,000","05:24 (01:22)","Re-Logic","Re-Logic"
"180","PAYDAY 2","Aug 13, 2013","$9.99","N/A (N/A/79%)","10,000,000 .. 20,000,000","17:58 (02:14)","OVERKILL - a Starbreeze Studio.","Starbreeze Publishing AB"
"4726","Robocraft","Aug 24, 2017","Free","N/A (N/A)","10,000,000 .. 20,000,000","02:05 (01:43)","Freejam","Freejam"
"5376","Trove","Jul 9, 2015","Free","N/A (N/A)","10,000,000 .. 20,000,000","03:44 (02:45)","Trion Worlds","Trion Worlds"
"1","BioShock","Aug 21, 2007","$19.99","N/A (N/A/96%)","5,000,000 .. 10,000,000","00:00 (00:00)","2K Boston, 2K Australia","2K"
"8","The Witcher 3: Wild Hunt","May 18, 2015","$39.99","N/A (N/A/93%)","5,000,000 .. 10,000,000","06:03 (03:15)","CD PROJEKT RED","CD PROJEKT RED"
"31","The Witcher 2: Assassins of Kings Enhanced Edition","Apr 16, 2012","$19.99","N/A (N/A/88%)","5,000,000 .. 10,000,000","01:42 (00:34)","CD PROJEKT RED","CD PROJEKT RED, 1C-SoftClub"
"81","Fallout 4","Nov 9, 2015","$29.99","N/A (N/A/84%)","5,000,000 .. 10,000,000","12:29 (12:49)","Bethesda Game Studios","Bethesda Softworks"
"142","Borderlands Game of the Year","","$29.99","N/A (N/A/81%)","5,000,000 .. 10,000,000","00:00 (00:00)","Gearbox Software","2K"
"304","Neverwinter","Dec 5, 2013","Free","N/A (N/A/74%)","5,000,000 .. 10,000,000","02:19 (01:32)","Cryptic Studios","Perfect World Entertainment"
"335","Black Desert Online","May 24, 2017","$9.99","N/A (N/A/73%)","5,000,000 .. 10,000,000","18:04 (18:03)","Pearl Abyss","Kakao Games Europe B.V."
"407","ARK: Survival Evolved","Aug 27, 2017","$49.99","N/A (N/A/70%)","5,000,000 .. 10,000,000","07:43 (07:09)","Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC","Studio Wildcard"
"438","Rust","Feb 8, 2018","$34.99","N/A (N/A/69%)","5,000,000 .. 10,000,000","24:17 (23:14)","Facepunch Studios","Facepunch Studios"
"539","Fallout Shelter","Mar 29, 2017","Free","N/A (N/A/63%)","5,000,000 .. 10,000,000","00:09 (00:04)","Bethesda Game Studios","Bethesda Softworks"
"1345","Tom Clancy’s The Division","Mar 7, 2016","$39.99","N/A (N/A)","5,000,000 .. 10,000,000","06:52 (06:48)","Massive Entertainment","Ubisoft"
"2189","Creativerse","May 8, 2017","Free","N/A (N/A)","5,000,000 .. 10,000,000","00:11 (00:03)","Playful Corp.","Playful Corp."
"2197","Braveland","Mar 17, 2014","$4.99","N/A (N/A)","5,000,000 .. 10,000,000","00:00 (00:00)","Tortuga Team","Tortuga Team"
"2629","ARK: Survival Of The Fittest","Aug 29, 2017","N/A","N/A (N/A)","5,000,000 .. 10,000,000","00:00 (00:00)","Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC","Studio Wildcard"
"4539","Castle Crashers","Sep 26, 2012","$14.99","N/A (N/A)","5,000,000 .. 10,000,000","00:51 (01:05)","The Behemoth","The Behemoth"
"4940","Clicker Heroes","May 13, 2015","Free","N/A (N/A)","5,000,000 .. 10,000,000","60:08 (20:02)","Playsaurus","Playsaurus"
"4947","Infestation: The New Z","Nov 22, 2016","Free","N/A (N/A)","5,000,000 .. 10,000,000","00:35 (00:48)","Fredaikis AB","Fredaikis AB"
"4","Mass Effect 2","Jan 26, 2010","$19.99","N/A (N/A/94%)","2,000,000 .. 5,000,000","00:00 (00:00)","BioWare","Electronic Arts"
"6","The Elder Scrolls IV: Oblivion Game of the Year Edition","Jun 16, 2009","$14.99","N/A (N/A/94%)","2,000,000 .. 5,000,000","12:32 (05:45)","Bethesda Game Studios","Bethesda Softworks"
"7","Divinity: Original Sin 2 - Definitive Edition","Sep 14, 2017","$44.99","N/A (N/A/93%)","2,000,000 .. 5,000,000","03:39 (04:25)","Larian Studios","Larian Studios"
"10","Undertale","Sep 15, 2015","$9.99","N/A (N/A/92%)","2,000,000 .. 5,000,000","01:30 (00:59)","tobyfox","tobyfox"
"16","Fallout 3: Game of the Year Edition","Dec 17, 2009","$19.99","N/A (N/A/91%)","2,000,000 .. 5,000,000","65:55 (21:58)","Bethesda Game Studios","Bethesda Softworks"
"23","Stardew Valley","Feb 26, 2016","$14.99","N/A (N/A/89%)","2,000,000 .. 5,000,000","07:15 (10:02)","ConcernedApe","ConcernedApe"
"26","Fallout: A Post Nuclear Role Playing Game","Nov 1, 2015","$9.99","N/A (N/A/89%)","2,000,000 .. 5,000,000","00:00 (00:00)","Interplay Inc.","Bethesda Softworks"
"28","Torchlight II","Sep 20, 2012","$19.99","N/A (N/A/88%)","2,000,000 .. 5,000,000","01:34 (00:31)","Runic Games","Runic Games"
"32","EVE Online","Dec 15, 2010","Free","N/A (N/A/88%)","2,000,000 .. 5,000,000","06:33 (05:07)","CCP","CCP"
"36","Dying Light","Jan 26, 2015","$39.99","N/A (N/A/87%)","2,000,000 .. 5,000,000","06:48 (09:55)","Techland","Techland Publishing"
"45","The Witcher: Enhanced Edition Director's Cut","Sep 19, 2008","$9.99","N/A (N/A/86%)","2,000,000 .. 5,000,000","10:44 (07:09)","CD PROJEKT RED","CD PROJEKT RED, 1C-SoftClub"
"49","Bastion","Aug 16, 2011","$14.99","N/A (N/A/86%)","2,000,000 .. 5,000,000","00:00 (00:00)","Supergiant Games","Supergiant Games"
"51","The Lord of the Rings Online","Jun 6, 2012","Free","N/A (N/A/86%)","2,000,000 .. 5,000,000","07:05 (02:21)","Standing Stone Games, LLC","Standing Stone Games, LLC"
"56","DARK SOULS: Prepare To Die Edition","Aug 24, 2012","N/A","N/A (N/A/85%)","2,000,000 .. 5,000,000","43:04 (14:21)","FromSoftware","BANDAI NAMCO Entertainment"
"63","STAR WARS Knights of the Old Republic II - The Sith Lords","Aug 23, 2012","$9.99","N/A (N/A/85%)","2,000,000 .. 5,000,000","00:48 (00:16)","Obsidian Entertainment, Aspyr (Mac, Linux, & Windows Update)","LucasArts, Disney, Lucasfilm, Aspyr (Mac, Linux)"
"66","The Binding of Isaac","Sep 28, 2011","$4.99","N/A (N/A/84%)","2,000,000 .. 5,000,000","00:00 (00:00)","Edmund McMillen and Florian Himsl","Edmund McMillen"
"67","RIFT","Mar 1, 2011","Free","N/A (N/A/84%)","2,000,000 .. 5,000,000","00:00 (00:00)","Trion Worlds","Trion Worlds"
"70","Darkest Dungeon","Jan 19, 2016","$24.99","N/A (N/A/84%)","2,000,000 .. 5,000,000","02:15 (02:56)","Red Hook Studios","Red Hook Studios"
"101","Realm of the Mad God","Feb 20, 2012","Free","N/A (N/A/82%)","2,000,000 .. 5,000,000","00:13 (00:04)","Wild Shadow Studios, Deca Games","Deca Games"
"109","Crusader Kings II","Feb 14, 2012","Free","N/A (N/A/82%)","2,000,000 .. 5,000,000","09:01 (11:56)","Paradox Development Studio","Paradox Interactive"
"118","Dungeon Defenders","Oct 18, 2011","$14.99","N/A (N/A/81%)","2,000,000 .. 5,000,000","08:52 (02:57)","Trendy Entertainment","Trendy Entertainment"
"123","Starbound","Jul 22, 2016","$14.99","N/A (N/A/81%)","2,000,000 .. 5,000,000","08:58 (09:32)","Chucklefish","Chucklefish"
"188","DARK SOULS II: Scholar of the First Sin","Apr 1, 2015","$39.99","N/A (N/A/79%)","2,000,000 .. 5,000,000","00:00 (00:00)","FromSoftware, Inc","BANDAI NAMCO Entertainment, FromSoftware, Inc"
"218","Mount & Blade: Warband","Mar 31, 2010","$19.99","N/A (N/A/78%)","2,000,000 .. 5,000,000","14:15 (07:00)","TaleWorlds Entertainment","TaleWorlds Entertainment"
"239","TERA","May 5, 2015","Free","N/A (N/A/77%)","2,000,000 .. 5,000,000","00:58 (00:38)","Bluehole, Inc.","En Masse Entertainment"
"269","Borderlands: The Pre-Sequel","Oct 13, 2014","$39.99","N/A (N/A/75%)","2,000,000 .. 5,000,000","03:19 (03:09)","2K Australia, Gearbox Software, Aspyr (Linux)","2K, Aspyr (Linux)"
"299","The Elder Scrolls V: Skyrim Special Edition","Oct 27, 2016","$39.99","N/A (N/A/74%)","2,000,000 .. 5,000,000","05:38 (08:00)","Bethesda Game Studios","Bethesda Softworks"
"303","Stories: The Path of Destinies","Apr 12, 2016","$14.99","N/A (N/A/74%)","2,000,000 .. 5,000,000","00:00 (00:00)","Spearhead Games","Spearhead Games"
"307","Magicka","Jan 25, 2011","$9.99","N/A (N/A/74%)","2,000,000 .. 5,000,000","00:00 (00:00)","Arrowhead Game Studios","Paradox Interactive"
"378","DC Universe Online","Nov 2, 2011","Free","N/A (N/A/72%)","2,000,000 .. 5,000,000","02:17 (00:45)","Daybreak Game Company","Daybreak Game Company"
