"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"81","War Thunder","Aug 15, 2013","Free","N/A (N/A/81%)","10,000,000 .. 20,000,000","05:43 (04:13)","Gaijin Entertainment","Gaijin Entertainment"
"2349","Robocraft","Aug 24, 2017","Free","N/A (N/A)","10,000,000 .. 20,000,000","02:05 (01:43)","Freejam","Freejam"
"4626","Street Warriors Online","Dec 16, 2016","$1.99","N/A (N/A)","10,000,000 .. 20,000,000","00:00 (00:00)","Crazy Rocks Studios","Crazy Rocks Studios"
"5093","Garry's Mod","Nov 29, 2006","$9.99","N/A (N/A)","10,000,000 .. 20,000,000","09:03 (01:56)","Facepunch Studios","Valve"
"28","Cities: Skylines","Mar 10, 2015","$29.99","N/A (N/A/85%)","5,000,000 .. 10,000,000","02:11 (03:22)","Colossal Order Ltd.","Paradox Interactive"
"45","Don't Starve Together","Apr 21, 2016","$14.99","N/A (N/A/83%)","5,000,000 .. 10,000,000","04:29 (01:59)","Klei Entertainment","Klei Entertainment"
"51","The Forest","Apr 30, 2018","$19.99","N/A (N/A/83%)","5,000,000 .. 10,000,000","04:17 (06:22)","Endnight Games Ltd","Endnight Games Ltd"
"76","World of Warships","Nov 15, 2017","Free","N/A (N/A/81%)","5,000,000 .. 10,000,000","10:44 (08:40)","Wargaming Group Limited","Wargaming Group Limited"
"101","Don't Starve","","$9.99","N/A (N/A/79%)","5,000,000 .. 10,000,000","10:16 (13:40)","Klei Entertainment","Klei Entertainment"
"104","Euro Truck Simulator 2","Oct 12, 2012","$19.99","N/A (N/A/79%)","5,000,000 .. 10,000,000","07:45 (03:30)","SCS Software","SCS Software"
"199","Black Desert Online","May 24, 2017","$9.99","N/A (N/A/73%)","5,000,000 .. 10,000,000","18:04 (18:03)","Pearl Abyss","Kakao Games Europe B.V."
"344","Fallout Shelter","Mar 29, 2017","Free","N/A (N/A/63%)","5,000,000 .. 10,000,000","00:09 (00:04)","Bethesda Game Studios","Bethesda Softworks"
"3357","VRChat","Feb 1, 2017","Free","N/A (N/A)","5,000,000 .. 10,000,000","18:46 (01:21)","VRChat Inc.","VRChat Inc."
"3362","theHunter Classic","Jun 3, 2014","Free","N/A (N/A)","5,000,000 .. 10,000,000","00:26 (00:08)","Expansive Worlds, Avalanche Studios","Expansive Worlds, Avalanche Studios"
"4578","Clicker Heroes","May 13, 2015","Free","N/A (N/A)","5,000,000 .. 10,000,000","60:08 (20:02)","Playsaurus","Playsaurus"
"5348","Creativerse","May 8, 2017","Free","N/A (N/A)","5,000,000 .. 10,000,000","00:11 (00:03)","Playful Corp.","Playful Corp."
"6","Stardew Valley","Feb 26, 2016","$14.99","N/A (N/A/89%)","2,000,000 .. 5,000,000","07:15 (10:02)","ConcernedApe","ConcernedApe"
"10","Kerbal Space Program","Apr 27, 2015","$39.99","N/A (N/A/88%)","2,000,000 .. 5,000,000","02:29 (01:47)","Squad","Private Division"
"19","The Sims 3","Jun 2, 2009","$19.99","N/A (N/A/86%)","2,000,000 .. 5,000,000","00:25 (00:08)","The Sims Studio","Electronic Arts"
"24","DiRT Rally","Dec 7, 2015","$39.99","N/A (N/A/86%)","2,000,000 .. 5,000,000","00:36 (00:43)","Codemasters Racing Studio, Feral Interactive (Linux), Feral Interactive (Mac)","Codemasters, Feral Interactive (Linux), Feral Interactive (Mac)"
