"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"6","Rocket League","Jul 7, 2015","$19.99","N/A (N/A/86%)","10,000,000 .. 20,000,000","07:03 (03:55)","Psyonix LLC","Psyonix LLC"
"36","GRID 2","","N/A","N/A (N/A/80%)","10,000,000 .. 20,000,000","05:08 (06:02)","Codemasters Racing","Codemasters"
"828","Street Warriors Online","Dec 16, 2016","$1.99","N/A (N/A)","10,000,000 .. 20,000,000","00:00 (00:00)","Crazy Rocks Studios","Crazy Rocks Studios"
"377","Freestyle 2: Street Basketball","Apr 1, 2015","Free","N/A (N/A)","5,000,000 .. 10,000,000","00:00 (00:00)","JOYCITY","JOYCITY"
"1010","VRChat","Feb 1, 2017","Free","N/A (N/A)","5,000,000 .. 10,000,000","18:46 (01:21)","VRChat Inc.","VRChat Inc."
"1460","theHunter Classic","Jun 3, 2014","Free","N/A (N/A)","5,000,000 .. 10,000,000","00:26 (00:08)","Expansive Worlds, Avalanche Studios","Expansive Worlds, Avalanche Studios"
"9","DiRT Rally","Dec 7, 2015","$39.99","N/A (N/A/86%)","2,000,000 .. 5,000,000","00:36 (00:43)","Codemasters Racing Studio, Feral Interactive (Linux), Feral Interactive (Mac)","Codemasters, Feral Interactive (Linux), Feral Interactive (Mac)"
"13","SpeedRunners","Apr 19, 2016","$14.99","N/A (N/A/84%)","2,000,000 .. 5,000,000","02:51 (00:57)","DoubleDutch Games","tinyBuild"
"90","F1 2015","Jul 9, 2015","$39.99","N/A (N/A/61%)","2,000,000 .. 5,000,000","01:21 (00:27)","Codemasters, Feral Interactive (Linux)","Codemasters, Feral Interactive (Linux)"
"226","S.K.I.L.L. - Special Force 2 (Shooter)","May 19, 2015","N/A","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Dragonfly GF Co., LTD","Gameforge 4D GmbH"
"286","Fishing Planet","Aug 11, 2015","Free","N/A (N/A)","2,000,000 .. 5,000,000","19:55 (06:38)","Fishing Planet LLC","Fishing Planet LLC"
"963","Golf With Your Friends","Jan 29, 2016","$7.99","N/A (N/A)","2,000,000 .. 5,000,000","01:01 (00:40)","Blacklight Interactive","Team17 Digital Ltd"
"964","RaceRoom Racing Experience","Feb 12, 2013","Free","N/A (N/A)","2,000,000 .. 5,000,000","02:13 (01:26)","Sector3 Studios","Sector3 Studios, RaceRoom Entertainment AG"
"4","NBA 2K18","Sep 14, 2017","$59.99","N/A (N/A/87%)","1,000,000 .. 2,000,000","00:00 (00:00)","Visual Concepts","2K"
"7","Football Manager 2019","Nov 2, 2018","$49.99","N/A (N/A/86%)","1,000,000 .. 2,000,000","03:38 (01:12)","Sports Interactive","SEGA"
"12","Assetto Corsa","Dec 19, 2014","$19.99","N/A (N/A/85%)","1,000,000 .. 2,000,000","13:23 (21:22)","Kunos Simulazioni","Kunos Simulazioni"
"20","Project CARS","Mar 15, 2015","$29.99","N/A (N/A/83%)","1,000,000 .. 2,000,000","02:25 (00:48)","Slightly Mad Studios","Slightly Mad Studios, BANDAI NAMCO Entertainment"
"23","TEKKEN 7","Jun 1, 2017","$39.99","N/A (N/A/82%)","1,000,000 .. 2,000,000","08:32 (06:34)","BANDAI NAMCO Studios Inc.","BANDAI NAMCO Entertainment"
"63","Poker Night at the Inventory","Nov 22, 2010","N/A","N/A (N/A/71%)","1,000,000 .. 2,000,000","00:00 (00:00)","Telltale Games","Soldak Entertainment"
"111","The Drone Racing League Simulator","Nov 1, 2017","$19.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","The Drone Racing League","The Drone Racing League"
"376","theHunter: Call of the Wild","Feb 16, 2017","$19.99","N/A (N/A)","1,000,000 .. 2,000,000","05:59 (01:59)","Expansive Worlds","Avalanche Studios"
"468","SNOW","Feb 14, 2019","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Poppermost Productions, WastedStudios","Crytek"
"737","Pixel Puzzles Ultimate","Sep 9, 2016","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","DL Softworks","The Digital Puzzle Company"
