"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Players","Playtime (Median)"
"1","Counter-Strike: Global Offensive","Aug 21, 2012","Free","N/A (N/A/83%)","100,000,000 .. 200,000,000","25.45%","19:31 (06:00)"
"2","Dota 2","Jul 9, 2013","Free","N/A (N/A/90%)","100,000,000 .. 200,000,000","13.84%","32:43 (13:02)"
"3","PLAYERUNKNOWN'S BATTLEGROUNDS","Dec 21, 2017","$29.99","N/A (N/A/86%)","50,000,000 .. 100,000,000","18.03%","15:55 (05:02)"
"4","Grand Theft Auto V","Apr 14, 2015","$29.99","N/A (N/A/96%)","10,000,000 .. 20,000,000","16.46%","13:14 (03:36)"
"5","Tom Clancy's Rainbow Six Siege","Dec 1, 2015","$7.99","N/A (N/A)","10,000,000 .. 20,000,000","22.42%","11:34 (03:37)"
"6","Destiny 2","Oct 1, 2019","Free","N/A (N/A/83%)","5,000,000 .. 10,000,000","12%","18:06 (04:49)"
"7","Rust","Feb 8, 2018","$34.99","N/A (N/A/69%)","5,000,000 .. 10,000,000","11.36%","24:17 (23:14)"
"8","Rocket League","Jul 7, 2015","$19.99","N/A (N/A/86%)","10,000,000 .. 20,000,000","15.5%","07:03 (03:55)"
"9","Wallpaper Engine","Nov 16, 2018","$3.99","N/A (N/A)","5,000,000 .. 10,000,000","26.07%","01:31 (00:14)"
"10","Euro Truck Simulator 2","Oct 12, 2012","$19.99","N/A (N/A/79%)","5,000,000 .. 10,000,000","14.62%","07:45 (03:30)"
"11","Garry's Mod","Nov 29, 2006","$9.99","N/A (N/A)","10,000,000 .. 20,000,000","7.13%","09:03 (01:56)"
"12","Dead by Daylight","Jun 14, 2016","$19.99","N/A (N/A/71%)","5,000,000 .. 10,000,000","11.95%","09:35 (02:43)"
"13","Warframe","Mar 25, 2013","Free","N/A (N/A/69%)","20,000,000 .. 50,000,000","4.07%","19:59 (09:07)"
"14","Terraria","May 16, 2011","$9.99","N/A (N/A/83%)","10,000,000 .. 20,000,000","7.74%","05:24 (01:22)"
"15","Dota Underlords","Jun 20, 2019","Free","N/A (N/A)","5,000,000 .. 10,000,000","7.58%","10:58 (09:38)"
"16","VRChat","Feb 1, 2017","Free","N/A (N/A)","5,000,000 .. 10,000,000","2.72%","18:46 (01:21)"
"17","Sid Meier's Civilization V","Sep 21, 2010","$29.99","N/A (N/A/90%)","10,000,000 .. 20,000,000","4.76%","10:04 (08:05)"
"18","Left 4 Dead 2","Nov 16, 2009","$9.99","N/A (N/A/89%)","10,000,000 .. 20,000,000","4.25%","03:39 (02:09)"
"19","Team Fortress 2","Oct 10, 2007","Free","N/A (N/A/92%)","10,000,000 .. 20,000,000","3.23%","21:21 (06:04)"
"20","MONSTER HUNTER: WORLD","Aug 9, 2018","$59.99","N/A (N/A/88%)","5,000,000 .. 10,000,000","11.89%","06:47 (09:04)"
"21","STAR WARS Jedi: Fallen Order","Nov 14, 2019","$59.99","N/A (N/A/82%)","1,000,000 .. 2,000,000","100%","12:25 (12:09)"
"22","Human: Fall Flat","Jul 22, 2016","$14.99","N/A (N/A/70%)","2,000,000 .. 5,000,000","8.36%","03:01 (02:08)"
"23","The Elder Scrolls Online","May 22, 2017","$9.99","N/A (N/A)","2,000,000 .. 5,000,000","3.7%","48:12 (23:28)"
"24","Grimm","Jan 6, 2014","N/A","N/A (N/A)","1,000,000 .. 2,000,000","0.78%","108:15 (72:09)"
